algoritmo,size_kb,object_id,time_seconds,tiempo_io_write_orig_s,tiempo_io_read_orig_s
BLAKE3,10,9,0.000010,0.000040,0.000010
BLAKE3,10,10,0.000010,0.000040,0.000009
BLAKE3,10,11,0.000010,0.000041,0.000010
BLAKE3,10,12,0.000010,0.000041,0.000010
BLAKE3,10,13,0.000010,0.000037,0.000010
BLAKE3,10,14,0.000010,0.000039,0.000010
BLAKE3,10,15,0.000010,0.000036,0.000009
BLAKE3,10,16,0.000010,0.000036,0.000010
BLAKE3,10,17,0.000010,0.000036,0.000010
BLAKE3,10,18,0.000010,0.000040,0.000010
BLAKE3,10,19,0.000010,0.000040,0.000010
BLAKE3,10,20,0.000010,0.000040,0.000010
BLAKE3,10,21,0.000011,0.000040,0.000010
BLAKE3,10,22,0.000010,0.000043,0.000010
BLAKE3,10,23,0.000010,0.000037,0.000010
BLAKE3,10,24,0.000010,0.000036,0.000010
BLAKE3,10,25,0.000010,0.000042,0.000009
BLAKE3,10,26,0.000010,0.000035,0.000010
BLAKE3,10,27,0.000010,0.000051,0.000011
BLAKE3,10,28,0.000010,0.000040,0.000010
BLAKE3,10,29,0.000010,0.000040,0.000010
BLAKE3,10,30,0.000010,0.000036,0.000009
BLAKE3,10,31,0.000010,0.000035,0.000009
BLAKE3,50,1,0.000023,0.000065,0.000016
BLAKE3,50,2,0.000020,0.000061,0.000013
BLAKE3,50,3,0.000019,0.000058,0.000013
BLAKE3,50,4,0.000019,0.000058,0.000014
BLAKE3,50,5,0.000020,0.000055,0.000013
BLAKE3,50,6,0.000019,0.000057,0.000013
BLAKE3,50,7,0.000019,0.000057,0.000013
BLAKE3,50,8,0.000020,0.000062,0.000014
BLAKE3,50,9,0.000019,0.000057,0.000013
BLAKE3,50,10,0.000019,0.000057,0.000013
BLAKE3,50,11,0.000019,0.000058,0.000013
BLAKE3,50,12,0.000021,0.000056,0.000014
BLAKE3,50,13,0.000019,0.000066,0.000014
BLAKE3,50,14,0.000019,0.000057,0.000013
BLAKE3,50,15,0.000019,0.000057,0.000013
BLAKE3,50,16,0.000020,0.000058,0.000013
BLAKE3,50,17,0.000019,0.000057,0.000013
BLAKE3,50,18,0.000019,0.000057,0.000013
BLAKE3,50,19,0.000020,0.000061,0.000015
BLAKE3,50,20,0.000019,0.000058,0.000013
